"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000145335",370.866424734061,-3.00696321775958,0.743923481580669,-4.04203294049875,5.29897863465743e-05,0.044323306789592
"ENSG00000198624",102.816421690077,-3.6828814592557,0.914278069238197,-4.02818527882265,5.62090403205842e-05,0.0446289903805297
"ENSG00000119509",217.594092004878,1.14845283620169,0.285826006806589,4.01801378759357,5.86907638455169e-05,0.0446289903805297
"ENSG00000260528",102.691486347318,-8.02449161147215,2.002746207758,-4.00674412982924,6.15614909210946e-05,0.0447766165921301
"ENSG00000276966",32.1961087697573,3.43147539338157,0.862993514211744,3.9762470248874,7.0011400839926e-05,0.0488008635271301
"ENSG00000139352",12.4130359335639,6.24916619955769,1.59318833851787,3.92242778111924,8.7661173261759e-05,0.0586593506998386
"ENSG00000005059",89.0182731869001,-2.71143522557493,0.693582842517287,-3.90931704096667,9.25574250411807e-05,0.0595535832120736
"ENSG00000274265",73.0629005922531,-2.34498645434039,0.60602635348718,-3.86944633817809,0.000109082786176948,0.0651730689269345
"ENSG00000158406",287.549424123704,3.22493277849117,0.831921043389516,3.87648900591786,0.000105974596053152,0.0651730689269345
"ENSG00000127863",197.585498456989,3.59415158122597,0.933502626576672,3.85017832719592,0.000118031855499391,0.0680881003672179
"ENSG00000151778",32.2479781120651,-4.13118324315513,1.07650622037608,-3.83758418201419,0.000124250646107105,0.0692863019575255
"ENSG00000203685",354.831105060823,2.54292999091932,0.666478914946728,3.81546952782832,0.000135924229824377,0.0733508529268388
"ENSG00000151914",972.544297336809,1.87907000528578,0.501063818727243,3.75016102750908,0.000176721049471648,0.0923864511441
"ENSG00000158457",132.783753041836,-3.07291678668811,0.821326210218187,-3.7414084056465,0.000182991870214974,0.0927657877826153
"ENSG00000108821",480.998111751011,-3.45246063334486,0.926284210972096,-3.727215246087,0.000193607105915057,0.093284159532038
"ENSG00000286381",26.3787670708663,-7.062531637066,1.89588405427145,-3.72519174954504,0.000195166811143603,0.093284159532038
"ENSG00000162409",70.1712179949242,-4.51879964860418,1.21995832630066,-3.70406066435626,0.000212175482357586,0.0983686739523819
"ENSG00000120885",781.211791605588,-3.24098846542218,0.876488494267659,-3.6976965318069,0.000217564763957088,0.0983686739523819
"ENSG00000079102",25.4036036795411,2.96712649441783,0.808358796606443,3.67055632582224,0.000242023127609579,0.10654749741528
"ENSG00000156298",85.1853962638701,-4.40283878841369,1.20424639009543,-3.65609465357401,0.00025608683010567,0.109848117457378
"ENSG00000202538",9.15294706686338,5.7883036961333,1.59418729612345,3.63088058110148,0.000282455862733048,0.118130103191529
