"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000198795",161.565411324744,3.57992088528065,0.550353182221498,6.50477002936609,7.78123251091549e-11,1.37066410679776e-06
"ENSG00000101977",467.370809396202,4.59346845582119,0.746011353223619,6.15737071020725,7.39625801410197e-10,6.51425424592031e-06
"ENSG00000144824",161.582286745711,4.20442764990424,0.691162143246865,6.08312780291053,1.17860324136778e-09,6.9203653655645e-06
"ENSG00000226145",35.0801089616724,-4.5021131043055,0.847928552852208,-5.30954299057577,1.09900459368406e-07,0.000387179318354893
"ENSG00000169548",20.0333844573553,-7.68765031230261,1.44664159672122,-5.31413608576339,1.07164512395522e-07,0.000387179318354893
"ENSG00000250337",66.4904399744822,-4.14647303448215,0.797238721749426,-5.2010432024467,1.98173025840459e-07,0.000498688264311385
"ENSG00000170421",178.011575006125,-3.19633395588079,0.612675334611688,-5.21701099311696,1.81833471992019e-07,0.000498688264311385
"ENSG00000163694",282.137749158021,-2.60894471780085,0.513874024227416,-5.07701225358349,3.83416154242225e-07,0.000844234444622099
"ENSG00000163017",35.8096931726974,-4.76058443817148,0.95103485332502,-5.00568872058418,5.56626467236881e-07,0.00108944169115307
"ENSG00000125816",21.5457293083931,7.27179589623248,1.46256135546998,4.9719595482514,6.62795368837849e-07,0.00116751404220787
"ENSG00000115641",295.866031728129,-2.1998357005338,0.458161582018535,-4.80144077301708,1.57528102162441e-06,0.00252259774508309
"ENSG00000065371",112.789190790274,-3.38163778512063,0.712523049324089,-4.74600476199122,2.07473829076019e-06,0.00273183154062966
"ENSG00000186310",27.3077045288501,2.93490936404286,0.621435185071148,4.72279239178714,2.32628289011892e-06,0.00273183154062966
"ENSG00000020181",110.571453759799,2.07880894827516,0.437499861820578,4.75156481107117,2.01848438773238e-06,0.00273183154062966
"ENSG00000182632",29.2463132113831,-5.79442038316152,1.22358821389572,-4.73559676152238,2.18411467366671e-06,0.00273183154062966
"ENSG00000186973",14.5277086553782,-6.49765439206272,1.41323153107176,-4.59772814942436,4.27122797130315e-06,0.00388125223740289
"ENSG00000231419",421.040567450817,3.21275907144101,0.704249350201047,4.5619624221504,5.06777186830919e-06,0.00388125223740289
"ENSG00000155622",26.0880640368212,-5.07835190580054,1.10682985657562,-4.58819562521763,4.47093578997736e-06,0.00388125223740289
"ENSG00000284377",16.6715146995279,-5.36424253424135,1.16736051863714,-4.59518927409327,4.32356632625623e-06,0.00388125223740289
"ENSG00000165023",17.6488591530188,3.79731181588783,0.820623164976863,4.62735147867157,3.70371656170423e-06,0.00388125223740289
"ENSG00000127863",197.585498456989,3.97996392334402,0.870758976473706,4.57068377228978,4.86135394608399e-06,0.00388125223740289
"ENSG00000259283",24.1931408322416,-3.09120860162381,0.669682694081896,-4.61593024419082,3.91338387052436e-06,0.00388125223740289
"ENSG00000159618",41.1619305460175,-5.46760363396991,1.19700218085779,-4.56774742887414,4.9299356515684e-06,0.00388125223740289
"ENSG00000134121",539.937171298907,3.19705489933212,0.704209462321394,4.53992039356185,5.62754711765293e-06,0.00413038510322735
"ENSG00000103449",37.074785672529,3.30045556968217,0.73075909432282,4.51647553252913,6.28773785319197e-06,0.00443034009135906
"ENSG00000089169",19.926260084114,-4.21119849610064,0.944725134755406,-4.45759125186284,8.2885757186408e-06,0.00561551004937914
"ENSG00000234261",39.5960628981948,-5.23943179321882,1.18199505978692,-4.43270193884172,9.30594734055417e-06,0.00607126897792081
"ENSG00000153064",14.6604183523756,-6.50706820946877,1.47850542529925,-4.40111216240665,1.0769743194333e-05,0.00672576815962967
"ENSG00000012124",202.365114967135,-4.38696029980353,0.998150756835997,-4.39508788603197,1.10727945858223e-05,0.00672576815962967
"ENSG00000135318",241.277161926336,3.09594722244261,0.707718530004771,4.37454594049096,1.21685495603869e-05,0.00686707378100308
"ENSG00000126882",216.707804825462,-2.66121659408924,0.609097036288805,-4.36911762090305,1.24749566274254e-05,0.00686707378100308
"ENSG00000256546",33.9728847357449,-3.63007314049959,0.829114942793503,-4.37825077457769,1.19635645673049e-05,0.00686707378100308
"ENSG00000126785",576.796147500975,1.86197522252355,0.427422370435692,4.35628865336541,1.32286301173933e-05,0.0070612824096328
"ENSG00000167077",79.6995805971174,-3.86537699135784,0.891207418962433,-4.33723610139827,1.4428561086989e-05,0.00747526775139151
"ENSG00000131269",223.291179173137,1.33913142704317,0.309313823531026,4.32936171993893,1.49542134284619e-05,0.00752624198692445
"ENSG00000124785",99.2216158928853,4.54416143243998,1.05384762808792,4.31197196950077,1.61804950517444e-05,0.00775337859435149
"ENSG00000130513",674.946782627837,-3.79761434151315,0.88100718970408,-4.31053728720276,1.62858363889302e-05,0.00775337859435149
"ENSG00000158966",42.8930623594735,2.80957785083342,0.653223714918459,4.30109591349441,1.69955471740398e-05,0.0077733890879033
"ENSG00000183111",573.373763257613,1.49037469077031,0.346734958444723,4.29831101385156,1.72104555451734e-05,0.0077733890879033
"ENSG00000123700",112.863302487344,4.32366398957233,1.00801082718448,4.28930312350806,1.79234612940381e-05,0.00789304426736203
"ENSG00000133121",231.904106434461,2.31495042736441,0.541292301133976,4.27671042524477,1.89675267134435e-05,0.00814909714773919
"ENSG00000153283",26.5229206799526,-4.95757773815178,1.16900431451924,-4.24085495372239,2.2267000087034e-05,0.00933888586983583
"ENSG00000286122",13.5250491323001,-6.39075191277028,1.511030306014,-4.22940022270543,2.34315172008238e-05,0.00945764445418026
"ENSG00000158486",12.2992615394525,-3.66333560499469,0.866536745529078,-4.22755944730073,2.36239770640892e-05,0.00945764445418026
